0x30b9e8db,전사의 길
0x37da474d,질주자
0x5491e254,어둠의 안개 저항
0x58f405a3,마법사
0xa17bafad,묵직한 한 방
0xa84bdc20,동병상련
0xc0420dec,신묘한 솜씨
0xcbb5d9ea,강력한 쳐내기
0xd865867b,능숙한 뒷치기
0xf31bb5cd,어둠의 안개 여과
0xfb9439ec,독수리의 파멸
0x0052b678,"그래, 무슨 일인가, 친구여?"
0x00ad009e,이 <craftingstation>베틀</craftingstation>은 큰 도움이 되겠군요. 튼튼한 실과 결속... 피로 맺어진 유대처럼 단단하고 믿음직하지요.
0x00af8951,"고마워요, 화염의 후예님! <craftingstation>식물 및 종자 만일력</craftingstation>이 있으니 이제 정말 많은 일을 할 수 있을 거예요!"
0x00faa239,머리 위에 지붕도 없이 이렇게 밖에서 계속 서 있을 수는 없네! 나를 위해 대장간 하나만 지어주지 않겠나?
0x01414a15,"엠버베일도 변했군. 오래 전, 고대인이 탑을 세워 이 대지를 측량했지... 바로 고대 첨탑이라 불리는 탑이지. 그 중 하나는 가까이에 있어. 탑 위로 올라가 변해버린 세상을 확인해 봐!"
0x01529841,"<craftingstation>석공 도구</craftingstation> 찾아줘서 고맙군, 전사! 자, 이제 제대로 한번 만들어보자고!"
0x019f7551,"레벨우드의 덤불 속에는 광기가 도사리고 있노라. 영약의 요람이자 부패의 근원 — 광기의 씨앗이지. 수풀의 심장부에 자리 잡은, 질병과 무질서의 미로로다."
0x01bd5e12,"화염의 후예! 그 불꽃을 품고 있군... 우리 통하는 게 좀 있지 않나? 건축! 예술! 도굴! 아니, 내 말은 <i>잊혀진 아름다움을 보존하는 거</i> 말이야! 여왕님이 자기 보물이랑 같이 묻혔다는 소문이 있는데, 어디인지는 아무도 모르지. 뭐, 이제 죽었으니 그 사람한테 보물이 다 무슨 소용이겠어? 하! 그러니 가서 한번 들쑤셔보는 게 어때?"
0x01e4a65e,"너는 아직 내면의 화염이 가진 진정한 힘을 깨닫지 못했구나. 그 힘은 너를 화염의 결속으로 이어주며, 눈 깜짝할 사이에 고대 첨탑이나 화염 제단으로 인도하노라. 지도를 열고 위치를 선택하여 이곳 고대 첨탑으로 이동해 보거라."
0x02069703,"오, 화염의 손길이 닿은 친구여. 자네와 함께 보내는 시간도 좋지만 가끔은 너무 외로워서 말이야... 작은 동반자를 하나 데려와 주지 않겠나?"
